Dataset,Radius,Turbines,Algorithm,Seed,Linear,Ideal,Cubic,IdealCubic,CubicCutout,IdealCubicCutout,GaussLoss004,GaussLoss0022,JensenLoss,MinSpacing,Feas5D,Feas6D
1,750,8,LXSSA,25,111865.84945001383,112365.89895787863,92261.38509837558,92850.69241538728,87932.04844358549,88406.46983346765,719.7524162884802,778.6919174014911,500.0495078647946,364.85867296344543,False,False
1,750,8,LXSSA,26,111185.92075609573,112365.89895787863,91465.42776855247,92850.69241538728,87274.21159052943,88406.46983346765,1854.2591642617044,2742.227107951272,1179.9782017828984,338.09019713195937,False,False
1,750,8,LXSSA,27,111848.60056726169,112365.89895787863,92242.64036481766,92850.69241538728,87911.92454522953,88406.46983346765,1022.6843716641888,1127.1412538567092,517.2983906169393,344.2516847864978,False,False
1,750,8,LXSSA,28,111243.30832618762,112365.89895787863,91523.3574257087,92850.69241538728,87354.10117723008,88406.46983346765,1536.4455850354861,2857.0981633087067,1122.5906316910114,362.43221928180594,False,False
1,750,8,LXSSA,29,111622.57635260215,112365.89895787863,91975.85369233014,92850.69241538728,87700.44233424996,88406.46983346765,1167.5147902852332,1708.042766970204,743.3226052764803,349.7871895520041,False,False
1,750,8,LXSSA,30,110925.12635841595,112365.89895787863,91147.72516593739,92850.69241538728,87057.36524300785,88406.46983346765,1764.271048622948,3009.405456304943,1440.7725994626817,322.4745725133372,False,False
1,750,8,PSO,1,111085.82251324443,112365.89895787863,91340.47972279706,92850.69241538728,87200.41144522614,88406.46983346765,1342.7535278549185,2041.9437843968626,1280.0764446341927,372.7322718173477,False,False
1,750,8,PSO,2,111062.43432848787,112365.89895787863,91313.21553069484,92850.69241538728,87180.45750592464,88406.46983346765,1129.1429145736474,1305.52798962628,1303.4646293907572,332.4158976973626,False,False
1,750,8,PSO,3,111122.62433521384,112365.89895787863,91388.53423616989,92850.69241538728,87218.36979663032,88406.46983346765,1064.6202223776054,1233.7589486223296,1243.2746226647869,366.78849428418465,False,False
1,750,8,PSO,4,111013.10162366598,112365.89895787863,91255.90639033867,92850.69241538728,87133.34883450253,88406.46983346765,1070.3025729983929,1157.043078083414,1352.7973342126497,310.2782832443037,False,False
1,750,8,PSO,5,110959.21884742752,112365.89895787863,91188.84452712137,92850.69241538728,87086.64479382215,88406.46983346765,1613.8268999060529,2334.675566792488,1406.6801104511105,330.4713168413519,False,False
1,750,8,PSO,6,111356.15188661701,112365.89895787863,91664.73150745794,92850.69241538728,87439.3199828541,88406.46983346765,1198.9065014777734,1579.9867135488603,1009.7470712616196,347.27045170537457,False,False
1,750,8,PSO,7,111184.02446975249,112365.89895787863,91460.03125425978,92850.69241538728,87282.61962316914,88406.46983346765,1270.8565099592815,1754.9517522797832,1181.8744881261373,343.17922598718746,False,False
1,750,8,PSO,8,111028.38975819696,112365.89895787863,91269.64860790691,92850.69241538728,87156.44654513308,88406.46983346765,1585.5843261620466,3001.6700389584294,1337.5091996816627,367.055005068927,False,False
1,750,8,PSO,9,111425.66626328076,112365.89895787863,91744.75090489272,92850.69241538728,87511.71566797377,88406.46983346765,1162.4764210866851,1502.3124003259145,940.2326945978712,328.2040612966713,False,False
1,750,8,PSO,10,111507.06678877347,112365.89895787863,91838.66411224706,92850.69241538728,87591.31037101029,88406.46983346765,1123.5474471060006,1868.6971826650988,858.8321691051533,407.2172273553384,True,False
1,750,8,PSO,11,110766.88821699319,112365.89895787863,90960.76088883476,92850.69241538728,86909.81867945856,88406.46983346765,1953.6812348670792,3174.600796062223,1599.0107408854383,326.8153014425171,False,False
1,750,8,PSO,12,111470.00819931888,112365.89895787863,91789.98306652014,92850.69241538728,87574.35321745426,88406.46983346765,1540.2399314234353,2443.321641777773,895.8907585597481,347.4575976434561,False,False
1,750,8,PSO,13,109836.61470532854,112365.89895787863,89869.17386785909,92850.69241538728,86010.9153950926,88406.46983346765,2487.73087829235,3637.939215422186,2529.284252550089,403.7895102082138,True,False
1,750,8,PSO,14,111455.35689248309,112365.89895787863,91777.61995471301,92850.69241538728,87547.95461322609,88406.46983346765,847.1347345209651,1360.779572521249,910.5420653955371,329.7679318996246,False,False
1,750,8,PSO,15,108931.20025302035,112365.89895787863,88816.29560102789,92850.69241538728,85117.94918626406,88406.46983346765,2831.7577308404434,3603.956460810441,3434.6987048582814,319.77608939607694,False,False
1,750,8,PSO,16,110425.18099915341,112365.89895787863,90570.66842418164,92850.69241538728,86559.33087201531,88406.46983346765,1778.610185008758,2130.235207549689,1940.7179587252176,318.12734750594234,False,False
