Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
LXSSA,linear,2,1000,8,20,994.4814995995694,57528.54565787775,True
LXSSA,linear,2,1000,8,21,702.794740508507,57820.232416968815,True
LXSSA,linear,2,1000,8,22,1111.5535582722077,57411.473599205114,True
LXSSA,linear,2,1000,8,23,713.2794909362565,57809.747666541065,True
LXSSA,linear,2,1000,8,24,1157.7558507086505,57365.27130676867,True
LXSSA,linear,2,1000,8,25,950.7284656684933,57572.29869180883,True
LXSSA,linear,2,1000,8,26,869.0590679559173,57653.968089521404,True
LXSSA,linear,2,1000,8,27,1260.3363193005935,57262.69083817673,True
LXSSA,linear,2,1000,8,28,1073.3852464949305,57449.64191098239,True
LXSSA,linear,2,1000,8,29,663.7694881733623,57859.25766930396,True
LXSSA,linear,2,1000,8,30,1169.3073384256495,57353.71981905167,True
