Experiment,Algorithm,Budget,Calls,Turbines,Seed,AEP,IdealAEP,Feasible,MinSpacing,Seconds,Coordinates
hr16,LXSSA,6030,6030,16,23,137.8231673841896,149.2632720953485,True,324.87802938898704,6.0295937779997075,-892.42 508.38;-770.50 -236.66;81.57 -833.43;745.00 363.86;-740.24 -801.24;-370.81 617.78;314.96 284.66;661.59 736.66;-741.89 196.50;333.20 794.57;-72.30 820.17;-401.48 -168.52;518.00 -824.50;-275.66 -740.81;-577.58 -520.02;5.86 13.98
hr16,LXSSA,6030,6030,16,24,135.58731724549696,149.2632720953485,True,320.2037920609178,5.859960353000133,620.28 -753.67;297.33 -608.74;286.38 432.22;732.59 -41.55;675.36 679.53;786.90 -357.12;-497.43 414.96;-616.90 -255.89;-247.62 -360.16;425.16 -287.68;-256.50 715.47;572.78 284.36;-194.08 238.26;152.35 799.74;232.33 63.66;-850.98 322.09
hr16,LXSSA,6030,6030,16,25,136.44421931331237,149.2632720953485,True,330.1336919760713,5.980065473000195,284.21 -98.07;-253.88 -578.99;82.88 -584.08;-830.19 92.93;59.75 407.40;-125.08 734.79;591.35 -305.03;-357.92 385.74;758.71 93.35;-501.38 63.45;626.16 -823.63;-808.97 831.56;-114.87 -0.89;-346.03 -256.34;419.93 834.60;852.84 -562.71
hr16,LXSSA,6030,6030,16,26,136.95584200075342,149.2632720953485,True,320.9225727751274,5.7441648229996645,-230.18 566.74;802.39 108.52;-467.35 -554.35;-260.94 -30.56;-549.16 179.58;860.72 -769.76;-556.64 683.70;653.70 392.92;496.59 -730.57;311.09 736.33;167.54 -734.78;-12.51 823.82;718.21 -209.06;221.53 -388.35;298.37 312.28;-286.82 -833.86
hr16,LXSSA,6030,6030,16,27,137.5444472926383,149.2632720953485,True,322.42770625176934,5.855743867000001,512.37 483.14;-748.42 -417.43;348.08 -729.00;-228.74 -794.56;-408.27 -161.37;742.05 767.86;12.72 -546.00;-375.02 560.12;339.20 -354.40;-563.64 -789.86;689.82 20.53;-882.18 669.85;837.39 -414.94;-318.78 192.37;275.75 821.89;-57.89 501.91
hr16,LXSSA,6030,6030,16,28,136.3993986892487,149.2632720953485,True,328.1455096329722,6.086371056000189,-333.09 185.29;277.37 834.83;137.98 537.76;669.75 -424.36;-797.00 833.65;-151.83 -618.28;533.67 526.59;-521.84 640.01;-609.26 -14.20;-624.84 -719.87;730.95 29.00;-758.15 -347.34;55.29 219.45;-861.11 270.53;-415.97 -378.36;-175.65 736.46
hr16,LXSSA,6030,6030,16,29,135.71239754217365,149.2632720953485,True,320.09262362673593,5.947222827000132,-594.47 -118.41;-693.19 547.25;633.05 -755.54;-873.78 274.67;-109.47 -440.39;-231.15 150.37;247.84 -432.35;-116.92 -826.94;-765.52 -612.55;-432.19 -447.97;-94.84 815.49;221.20 435.85;206.20 -805.86;-208.13 479.47;-448.93 754.13;734.34 -411.96
hr16,LXSSA,6030,6030,16,30,135.74924320936606,149.2632720953485,True,330.1505397447452,6.088791348000086,797.27 166.72;-585.44 -824.46;4.26 556.98;776.67 -286.49;86.72 -174.01;2.53 -683.15;-10.36 198.72;335.29 646.94;-769.21 -415.53;-565.22 311.51;-829.41 -13.04;-312.97 -69.86;405.72 -316.89;-354.55 -514.89;319.79 199.21;-411.80 817.73
hr16,SSA,6030,6030,16,1,137.43437698199773,149.2632720953485,True,329.15359958293254,6.050093842000024,536.17 527.15;927.04 -793.57;464.12 -80.94;-90.93 344.59;-885.45 378.08;757.43 -421.82;-487.19 164.50;378.15 -521.14;806.14 17.48;339.87 826.25;235.56 386.33;-558.64 496.00;-612.65 828.56;-566.14 -735.87;-177.03 -175.64;-103.23 -543.83
hr16,SSA,6030,6030,16,2,135.15206850987815,149.2632720953485,True,321.53033791647437,6.046041622999837,-390.20 -834.10;-606.30 395.67;762.65 545.45;403.58 195.42;-83.62 -737.20;-404.03 695.74;453.13 -134.76;378.70 519.47;-271.03 -329.31;476.11 831.27;-99.22 439.55;-666.36 46.98;-300.33 169.13;144.08 -18.69;-744.10 -783.31;774.22 -106.37
hr16,SSA,6030,6030,16,3,136.50479329080764,149.2632720953485,True,320.73021226774785,5.648627243000192,726.72 444.73;-778.70 -505.19;800.34 -191.89;-35.51 -318.89;-116.53 544.75;-456.33 -590.80;311.11 -375.31;554.53 -823.39;44.84 826.22;192.38 -688.90;-435.79 575.41;354.85 555.34;-880.93 461.82;485.10 -56.97;-393.86 -75.13;-376.25 254.02
hr16,SSA,6030,6030,16,4,135.97651609907953,149.2632720953485,True,324.8026634822538,5.929276884000046,-427.45 -290.99;690.35 -639.72;696.95 128.23;-764.08 -182.79;-466.41 401.21;875.45 -297.65;-10.93 -667.04;429.65 349.78;19.52 -127.86;518.14 -238.37;79.83 576.11;-755.12 -584.90;742.31 792.47;-129.22 308.74;294.33 -778.01;367.42 818.87
