Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,750,8,21,111502.8317745241,863.0671833545348,0.0,True,0.6309393689999752,-672.1028 301.2314;329.8290 -673.5821;-420.4380 610.7974;-12.6271 679.5851;349.0678 650.2673;-166.3868 223.9948;706.8267 -146.3034;350.7261 -207.9332
4D,False,100,3030,1,750,8,22,111777.03629584181,588.8626620368159,0.0,True,0.6153351110000358,729.7378 90.8180;-732.9204 -88.5229;198.2382 -415.1893;-527.7332 -497.7646;-471.6680 491.0983;551.5732 -384.5972;-120.8161 -713.5188;207.7158 672.5500
4D,False,100,3030,1,750,8,23,111631.97710291199,733.9218549666402,0.0,True,0.6808467860000746,113.3045 692.4468;672.2787 332.4775;530.7396 -529.9203;-39.0331 280.1724;-555.3705 -492.7579;-731.7503 -164.4034;343.6536 99.2728;-282.3154 -677.9664
4D,False,100,3030,1,750,8,24,111945.09439514826,420.80456273036543,0.0,True,0.6844175950000135,-35.5739 174.3901;-740.1759 33.7629;-525.4045 535.2102;293.9983 640.5111;524.1094 -186.8202;701.2787 265.9101;-281.9193 -397.0653;280.0471 -695.7540
4D,False,100,3030,1,750,8,25,111613.96638157983,751.932576298801,0.0,True,0.661593630000084,-114.4325 -112.4583;-306.1771 -394.7488;274.7681 528.2098;-518.6965 435.4756;660.6972 339.6386;90.3314 -419.8970;-668.7382 18.3474;439.1811 75.3415
4D,False,100,3030,1,750,8,26,111906.03979763221,459.85916024641483,0.0,True,0.6891683159999502,248.8918 681.9764;-695.2885 -281.2008;238.2513 -647.5819;-126.8800 709.8695;732.0216 -2.4748;-435.2350 127.7975;-110.7286 -389.3948;538.8713 271.8420
4D,False,100,3030,1,750,8,27,111919.69901942574,446.1999384528899,0.0,True,0.6658687919999693,-530.7087 -529.9511;-520.2183 540.2527;-336.1645 -92.0964;-744.9089 87.2392;45.8870 711.9503;749.9088 -11.6552;596.4652 453.8066;85.9153 -745.0627
4D,False,100,3030,1,750,8,28,111666.09136549704,699.8075923815923,0.0,True,0.6679985780000379,-432.7260 -564.2099;696.0963 -246.5538;-54.4356 -531.2563;-344.1741 584.4852;-44.0341 475.9606;-741.9592 72.5802;463.1451 587.9465;168.7289 730.7739
4D,False,100,3030,1,750,8,29,111793.44929373884,572.4496641397855,0.0,True,0.6628393290000076,-405.2078 -33.4490;63.8241 723.9076;-734.6330 -151.0383;-217.8102 395.0850;-551.3787 -508.4082;75.6824 -278.6504;412.9282 499.0640;651.0639 226.2324
4D,False,100,3030,1,750,8,30,111379.68815830849,986.2107995701372,0.0,True,0.6679641029999175,-99.6913 -444.2010;336.9820 616.0406;-498.3697 -446.9654;14.7802 550.6762;467.9936 -569.3803;334.1116 -148.0169;-504.6917 511.4671;688.5619 296.1537
4D,False,100,3030,1,1000,8,1,111948.33809454514,417.5608633334923,0.0,True,0.708451599,-950.0972 -292.5617;673.8075 -738.8905;991.4511 129.3451;-517.3224 855.7906;-310.2166 -950.6659;212.0443 915.7199;855.7782 -244.5149;180.3764 -915.7515
4D,False,100,3030,1,1000,8,2,112146.39106859129,219.50788928734255,0.0,True,0.6946376490000148,-239.1099 193.5385;-895.7769 411.6592;-578.6836 -432.7260;899.7783 -65.9641;-588.3447 798.4187;662.8427 -698.0423;262.8312 -715.3728;685.1673 717.3757
4D,False,100,3030,1,1000,8,3,112041.41915407339,324.4798038052395,0.0,True,0.6552469619999783,992.0049 14.2162;774.5595 -612.2146;63.0606 562.9781;-182.6558 209.0861;-742.8746 610.6540;774.5040 483.4206;-718.6584 -529.5253;-406.3739 547.8208
4D,False,100,3030,1,1000,8,4,111857.72479981472,508.17415806390636,0.0,True,0.7056528309999521,905.0858 103.4129;155.9958 605.0069;-835.8295 -404.0325;3.0308 999.9946;724.3278 508.9832;528.6000 -774.0718;579.0549 811.7578;-361.7046 542.8096
4D,False,100,3030,1,1000,8,5,112035.20796003158,330.6909978470503,0.0,True,0.6635891070000071,-39.0484 -478.8427;371.9417 893.2569;417.5758 -872.8612;862.9259 -476.3468;-42.8254 978.1736;-743.4460 416.2049;-969.9670 -241.3659;-241.1360 -970.4913
4D,False,100,3030,1,1000,8,6,112109.55811684823,256.3408410303964,0.0,True,0.6974182349999865,961.6439 272.3177;458.5067 620.5359;417.4769 -888.6924;-980.1638 116.2118;-211.0730 -548.8454;-556.0289 49.0591;763.8766 -473.0884;-196.5110 876.7782
4D,False,100,3030,1,1000,8,7,111898.93737375214,466.96158412648947,0.0,True,0.6988079459999881,-417.4591 -908.6949;-374.4271 808.6076;-656.7124 -461.4483;113.3028 -993.5605;441.2297 -334.8109;430.2694 596.0968;850.8412 -379.7847;-857.8047 247.7964
