Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Linear,Cubic,CubicCutout,Gauss,IdealCubic,IdealCubicCutout
DE,1,500,2,16,6030,28091.474739469657,28091.474739469657,0.0,True,908.3199678325716,2.018617509000024,28091.474739469657,23212.67310384682,22101.617458366913,28086.351240268166,23212.67310384682,22101.617458366913
DE,1,500,2,17,6030,28091.474739469657,28091.474739469657,0.0,True,784.2566012787862,1.9616457700000185,28091.474739469657,23212.67310384682,22101.617458366913,28083.688583321004,23212.67310384682,22101.617458366913
DE,1,500,2,18,6030,28091.474739469657,28091.474739469657,0.0,True,745.8824463809838,1.9595398619999853,28091.474739469657,23212.67310384682,22101.617458366913,28082.503621610686,23212.67310384682,22101.617458366913
DE,1,500,2,19,6030,28091.474739469657,28091.474739469657,0.0,True,821.8753329720968,2.024274374000015,28091.474739469657,23212.67310384682,22101.617458366913,28084.67587398465,23212.67310384682,22101.617458366913
DE,1,500,2,20,6030,28091.474739469657,28091.474739469657,0.0,True,816.8201892271311,2.009961558000043,28091.474739469657,23212.67310384682,22101.617458366913,28006.974578967714,23212.67310384682,22101.617458366913
DE,1,500,2,21,6030,28091.474739469657,28091.474739469657,0.0,True,864.0230297684882,1.9901959809999996,28091.474739469657,23212.67310384682,22101.617458366913,28085.6321286877,23212.67310384682,22101.617458366913
DE,1,500,2,22,6030,28091.474739469657,28091.474739469657,0.0,True,751.9000198255261,1.986815916000012,28091.474739469657,23212.67310384682,22101.617458366913,28084.90826755407,23212.67310384682,22101.617458366913
DE,1,500,2,23,6030,28091.474739469657,28091.474739469657,0.0,True,847.8680019211947,1.9538282009999648,28091.474739469657,23212.67310384682,22101.617458366913,28085.332703579665,23212.67310384682,22101.617458366913
DE,1,500,2,24,6030,28091.474739469657,28091.474739469657,0.0,True,893.59197085839,1.9796278549999895,28091.474739469657,23212.67310384682,22101.617458366913,28086.10268351133,23212.67310384682,22101.617458366913
DE,1,500,2,25,6030,28091.474739469657,28091.474739469657,0.0,True,762.9292176504528,1.9169251799999645,28091.474739469657,23212.67310384682,22101.617458366913,28087.288090230482,23212.67310384682,22101.617458366913
DE,1,500,2,26,6030,28091.474739469657,28091.474739469657,0.0,True,871.9104600519279,1.9503796710000076,28091.474739469657,23212.67310384682,22101.617458366913,28085.79048097246,23212.67310384682,22101.617458366913
DE,1,500,2,27,6030,28091.474739469657,28091.474739469657,0.0,True,821.8512595089297,1.977415614999984,28091.474739469657,23212.67310384682,22101.617458366913,28084.601754877676,23212.67310384682,22101.617458366913
DE,1,500,2,28,6030,28091.474739469657,28091.474739469657,0.0,True,835.4242423906009,2.035659812000006,28091.474739469657,23212.67310384682,22101.617458366913,28084.94170772196,23212.67310384682,22101.617458366913
DE,1,500,2,29,6030,28091.474739469657,28091.474739469657,0.0,True,827.30123383644,2.04426186500001,28091.474739469657,23212.67310384682,22101.617458366913,28088.06251210285,23212.67310384682,22101.617458366913
DE,1,500,2,30,6030,28091.474739469657,28091.474739469657,0.0,True,807.8996262551078,1.988015216000008,28091.474739469657,23212.67310384682,22101.617458366913,28086.4982938212,23212.67310384682,22101.617458366913
SLSQP,1,500,2,1,6030,28083.47197937467,28091.474739469657,8.002760094987025,True,999.869934763352,2.3555593130000148,28083.471983962703,23203.145801441802,22094.33551831513,28080.264783874878,23212.67310384682,22101.617458366913
SLSQP,1,500,2,2,6030,28091.474739469657,28091.474739469657,0.0,True,871.6897683949726,2.308006390999992,28091.474739469657,23212.67310384682,22101.617458366913,27951.38557640704,23212.67310384682,22101.617458366913
SLSQP,1,500,2,3,6030,28091.474739469657,28091.474739469657,0.0,True,947.7232691665076,2.5623243539999976,28091.474739469657,23212.67310384682,22101.617458366913,28086.939640987566,23212.67310384682,22101.617458366913
SLSQP,1,500,2,4,6030,28083.473437881206,28091.474739469657,8.001301588450588,True,999.9991890944834,2.4960311169999727,28083.473437120167,23203.14751609724,22094.336907323734,28080.262149911538,23212.67310384682,22101.617458366913
SLSQP,1,500,2,5,6030,28091.474739469657,28091.474739469657,0.0,True,802.722867056486,2.4223258620000365,28091.474739469657,23212.67310384682,22101.617458366913,28087.85863452595,23212.67310384682,22101.617458366913
