Radius,Turbines,Seed,Algorithm,WakeLoss,EnergyProduction,Runtime,RuntimeSingleRun,Evaluations,ObjectiveCalls,SurrogateInferences,SurrogateTrainPasses,Iterations,GateAdmissionRate,Dataset,Coordinates,Feasible308m
500,4,22,LXSSA,96.75528098515495,56086.19431901484,0.1456037763506174,,6030,6030,0,0,100,0,1,-335.8701757931756 -370.07593733041057;471.8492964230716 80.75310601597111;-13.999052993265977 475.07574871553015;230.30512434658303 -443.5625791912906,True
500,4,23,LXSSA,92.6206393080938,56090.32896069191,0.1456037763506174,,6030,6030,0,0,100,0,1,254.31119455246466 -338.31411937904835;-451.2145676856782 68.84055575923118;-255.4648599664596 -429.8111468139658;421.33858359420424 269.20845466392905,True
500,4,24,LXSSA,117.9888129850951,56064.9607870149,0.1456037763506174,,6030,6030,0,0,100,0,1,-245.29085682774434 350.8504680294412;441.8379305974954 234.04961755629208;164.32383752663262 -188.99731798088757;-242.3551778019674 -437.3373575788661,True
500,4,25,LXSSA,97.81645842738362,56085.13314157262,0.1456037763506174,,6030,6030,0,0,100,0,1,-395.4498239544526 -127.88095074231614;430.7080085261519 83.7714198774441;-144.8725576936127 470.34407926585897;-130.07421927223882 -482.43298557236415,True
500,4,26,LXSSA,100.3046330897268,56082.64496691027,0.1456037763506174,,6030,6030,0,0,100,0,1,-28.713645204718098 218.58400921152582;-441.91039567308644 233.87023875102466;191.4498358512471 -417.1514939621934;470.8843596422719 163.60753400661105,True
500,4,27,LXSSA,100.9659970412613,56081.98360295874,0.1456037763506174,,6030,6030,0,0,100,0,1,-478.1576780279915 146.1338894934202;-219.79114128632057 -414.4988431495203;17.213076696515824 239.2476731083077;430.35363893587 254.52457483735557,True
500,4,28,LXSSA,100.3325990794401,56082.61700092056,0.1456037763506174,,6030,6030,0,0,100,0,1,-489.2857122405518 102.95379569117978;189.65734622210064 427.9983838348012;402.2914803038913 -232.8546836251878;-278.65013914913294 -414.34542208546543,True
500,4,29,LXSSA,125.532255357728,56057.41734464227,0.1456037763506174,,6030,6030,0,0,100,0,1,395.2844523846232 304.39985604606386;-375.21316831014747 330.438999777175;239.94608339928982 -197.70203670352493;-161.1039330332396 -472.7080025241723,True
500,4,30,LXSSA,113.2978370145211,56069.65176298548,0.1456037763506174,,6030,6030,0,0,100,0,1,-211.71783579532132 -452.962714889235;482.332566101202 131.73940085966456;-431.24449727491157 253.03776613050607;26.45640323416129 182.25601895425135,True
500,4,1,PSO,107.1660029269478,56075.78359707305,0.0094420726100603,,3030,3030,0,0,100,0,1,144.42573572592752 -332.3676164576161;-442.876947486447 -208.23305718806805;372.6727049604446 313.1635824556978;-232.8418371273927 321.79539920555516,True
500,4,2,PSO,103.8467296584204,56079.10287034158,0.0094420726100603,,3030,3030,0,0,100,0,1,-453.09836644951656 -207.5188110842924;497.77454947312265 46.28018097567288;-184.32412342290905 401.30820158526626;236.94401872148686 -346.67436723344696,True
