Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
SSA,linear,1,750,8,10,1093.619379242853,111272.27957863577,True
SSA,linear,1,750,8,11,464.8161420368997,111901.08281584173,True
SSA,linear,1,750,8,12,1815.2772737775376,110550.62168410109,True
SSA,linear,1,750,8,13,1490.611369268605,110875.28758861002,True
SSA,linear,1,750,8,14,476.11585324269254,111889.78310463594,True
SSA,linear,1,750,8,15,572.8585516308522,111793.04040624778,True
SSA,linear,1,750,8,16,657.2171344070521,111708.68182347158,True
SSA,linear,1,750,8,17,765.7796424610715,111600.11931541756,True
SSA,linear,1,750,8,18,1300.8901779501903,111065.00877992844,True
SSA,linear,1,750,8,19,643.449608365976,111722.44934951265,True
SSA,linear,1,750,8,20,1121.9701276298874,111243.92883024874,True
SSA,linear,1,750,8,21,947.0873165062949,111418.81164137233,True
SSA,linear,1,750,8,22,478.74147845791595,111887.15747942071,True
SSA,linear,1,750,8,23,1357.5850315354328,111008.3139263432,True
SSA,linear,1,750,8,24,829.4659323098167,111536.43302556881,True
SSA,linear,1,750,8,25,1154.8306872824614,111211.06827059617,True
SSA,linear,1,750,8,26,1912.2099035069405,110453.68905437169,True
SSA,linear,1,750,8,27,781.4739477044932,111584.42501017413,True
SSA,linear,1,750,8,28,840.4746722900018,111525.42428558863,True
SSA,linear,1,750,8,29,1560.5594126944925,110805.33954518414,True
SSA,linear,1,750,8,30,656.4707172709313,111709.4282406077,True
SSA,linear,1,1000,8,1,352.6062790379365,112013.29267884069,True
SSA,linear,1,1000,8,2,295.54857444713707,112070.35038343149,True
SSA,linear,1,1000,8,3,505.5966987448337,111860.3022591338,True
SSA,linear,1,1000,8,4,349.7300182417821,112016.16893963685,True
SSA,linear,1,1000,8,5,560.8926236944244,111805.0063341842,True
SSA,linear,1,1000,8,6,640.169460959034,111725.7294969196,True
SSA,linear,1,1000,8,7,435.742717266563,111930.15624061206,True
SSA,linear,1,1000,8,8,393.1413871351833,111972.75757074344,True
SSA,linear,1,1000,8,9,517.0246317534911,111848.87432612514,True
SSA,linear,1,1000,8,10,599.2814661757002,111766.61749170293,True
SSA,linear,1,1000,8,11,826.6212218696164,111539.27773600901,True
SSA,linear,1,1000,8,12,338.2256158532982,112027.67334202533,True
SSA,linear,1,1000,8,13,681.9691552021977,111683.92980267643,True
SSA,linear,1,1000,8,14,883.4936953546567,111482.40526252397,True
SSA,linear,1,1000,8,15,725.7508026854921,111640.14815519314,True
SSA,linear,1,1000,8,16,376.9112068978866,111988.98775098074,True
SSA,linear,1,1000,8,17,338.6981010471063,112027.20085683152,True
SSA,linear,1,1000,8,18,582.0591120544414,111783.83984582419,True
SSA,linear,1,1000,8,19,421.98058070124534,111943.91837717738,True
SSA,linear,1,1000,8,20,406.42939158680383,111959.46956629182,True
SSA,linear,1,1000,8,21,369.7481009971816,111996.15085688145,True
SSA,linear,1,1000,8,22,636.5823706424999,111729.31658723613,True
SSA,linear,1,1000,8,23,330.8894406709296,112035.0095172077,True
SSA,linear,1,1000,8,24,572.00243954506,111793.89651833357,True
SSA,linear,1,1000,8,25,390.9015259740263,111974.9974319046,True
SSA,linear,1,1000,8,26,378.14370240485005,111987.75525547378,True
SSA,linear,1,1000,8,27,529.5851495705429,111836.31380830808,True
SSA,linear,1,1000,8,28,856.7526003921084,111509.14635748652,True
SSA,linear,1,1000,8,29,430.59491181757767,111935.30404606105,True
SSA,linear,1,1000,8,30,450.7972182717058,111915.10173960692,True
SSA,linear,2,500,4,1,451.2828241865027,28810.230754552158,True
SSA,linear,2,500,4,2,281.4401588060937,28980.073419932567,True
SSA,linear,2,500,4,3,210.03213479813712,29051.481443940524,True
SSA,linear,2,500,4,4,242.69632726402415,29018.817251474637,True
SSA,linear,2,500,4,5,464.7624068647601,28796.7511718739,True
SSA,linear,2,500,4,6,398.4407603028085,28863.072818435852,True
SSA,linear,2,500,4,7,212.57914139267814,29048.934437345983,True
SSA,linear,2,500,4,8,275.4527902826485,28986.060788456012,True
SSA,linear,2,500,4,9,359.7960259468382,28901.717552791823,True
SSA,linear,2,500,4,10,396.6801918934543,28864.833386845206,True
SSA,linear,2,500,4,11,236.4867605453437,29025.026818193317,True
SSA,linear,2,500,4,12,229.0079917803596,29032.5055869583,True
SSA,linear,2,500,4,13,290.18335533685604,28971.330223401805,True
SSA,linear,2,500,4,14,242.21195957676173,29019.3016191619,True
SSA,linear,2,500,4,15,217.61574056040627,29043.897838178254,True
SSA,linear,2,500,4,16,252.6427333799911,29008.87084535867,True
SSA,linear,2,500,4,17,239.00523365156187,29022.5083450871,True
SSA,linear,2,500,4,18,237.33241570342943,29024.18116303523,True
SSA,linear,2,500,4,19,374.043296912565,28887.470281826096,True
SSA,linear,2,500,4,20,396.1801355298667,28865.333443208794,True
SSA,linear,2,500,4,21,385.0157864750108,28876.49779226365,True
SSA,linear,2,500,4,22,352.0293350681932,28909.484243670468,True
SSA,linear,2,500,4,23,189.77376907758298,29071.739809661078,True
SSA,linear,2,500,4,24,206.30273320238484,29055.210845536276,True
SSA,linear,2,500,4,25,476.1590113368511,28785.35456740181,True
SSA,linear,2,500,4,26,439.2137063205482,28822.299872418112,True
SSA,linear,2,500,4,27,404.30131327148047,28857.21226546718,True
SSA,linear,2,500,4,28,263.4711085672643,28998.042470171396,True
SSA,linear,2,500,4,29,188.14515750336432,29073.368421235296,True
SSA,linear,2,500,4,30,216.34366403715467,29045.169914701506,True
SSA,linear,2,750,8,1,2120.127428881722,56402.8997285956,True
SSA,linear,2,750,8,2,1616.2685258281927,56906.75863164913,True
SSA,linear,2,750,8,3,2438.590329261904,56084.43682821542,True
SSA,linear,2,750,8,4,1507.4867967915416,57015.54036068578,True
SSA,linear,2,750,8,5,1942.4527687986047,56580.57438867872,True
SSA,linear,2,750,8,6,2164.938805534068,56358.088351943254,True
SSA,linear,2,750,8,7,1504.6017379685363,57018.425419508785,True
SSA,linear,2,750,8,8,1449.752963756735,57073.27419372059,True
SSA,linear,2,750,8,9,1616.0005358560375,56907.026621621284,True
SSA,linear,2,750,8,10,1418.2820484814583,57104.74510899586,True
SSA,linear,2,750,8,11,1948.7793903353304,56574.24776714199,True
